2026-04-28 18:30:16.8104 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/favicon-32x32.png - 304 - - 0.7253ms 
2026-04-28 18:30:37.7748 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.TryParseModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider 
2026-04-28 18:30:38.1346 | DEBUG | Microsoft.Extensions.Hosting.Internal.Host | Hosting starting 
2026-04-28 18:30:38.1550 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BlazorWasmHotReloadMiddleware | Middleware loaded 
2026-04-28 18:30:38.1550 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware | Middleware loaded. Script /_framework/aspnetcore-browser-refresh.js (14917 B). 
2026-04-28 18:30:38.1550 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware | Middleware loaded. Script /_framework/blazor-hotreload.js (799 B). 
2026-04-28 18:30:38.2990 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Middleware configuration started with options: {AllowedHosts = *, AllowEmptyHosts = True, IncludeFailureMessage = True} 
2026-04-28 18:30:38.2990 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed. 
2026-04-28 18:30:38.2990 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Middleware loaded: DOTNET_MODIFIABLE_ASSEMBLIES=debug, __ASPNETCORE_BROWSER_TOOLS=true 
2026-04-28 18:30:38.3542 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5062 
2026-04-28 18:30:38.3542 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly APILab 
2026-04-28 18:30:38.3542 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh 
2026-04-28 18:30:38.3542 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.ApiEndpointDiscovery 
2026-04-28 18:30:38.3542 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net 
2026-04-28 18:30:38.3615 | DEBUG | Microsoft.AspNetCore.Mvc.ApiExplorer.ApiDescriptionGroupCollectionProvider | Executing API description provider 'EndpointMetadataApiDescriptionProvider' from assembly Microsoft.AspNetCore.Mvc.ApiExplorer v10.0.0.0. 
2026-04-28 18:30:38.3615 | DEBUG | Microsoft.AspNetCore.Mvc.ApiExplorer.ApiDescriptionGroupCollectionProvider | Executing API description provider 'DefaultApiDescriptionProvider' from assembly Microsoft.AspNetCore.Mvc.ApiExplorer v10.0.0.0. 
2026-04-28 18:30:38.3947 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2026-04-28 18:30:38.3947 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2026-04-28 18:30:38.3947 | INFO | Microsoft.Hosting.Lifetime | Content root path: M:\ITI\API\Labs\Day2\APILab\APILab 
2026-04-28 18:30:38.3947 | DEBUG | Microsoft.Extensions.Hosting.Internal.Host | Hosting started 
2026-04-28 18:30:50.2898 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9C" accepted. 
2026-04-28 18:30:50.2898 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9C" started. 
2026-04-28 18:30:50.2898 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9D" accepted. 
2026-04-28 18:30:50.2898 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9D" started. 
2026-04-28 18:30:50.3288 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/index.html - - - 
2026-04-28 18:30:50.4630 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/index.html' 
2026-04-28 18:30:50.4630 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.5446 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9C" completed keep alive response. 
2026-04-28 18:30:50.5446 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/index.html - 304 - - 225.4824ms 
2026-04-28 18:30:50.5982 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9E" accepted. 
2026-04-28 18:30:50.5982 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9E" started. 
2026-04-28 18:30:50.5982 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9F" accepted. 
2026-04-28 18:30:50.5982 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9F" started. 
2026-04-28 18:30:50.5982 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/index.css - - - 
2026-04-28 18:30:50.5982 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui.css - - - 
2026-04-28 18:30:50.5982 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-standalone-preset.js - - - 
2026-04-28 18:30:50.5982 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9G" accepted. 
2026-04-28 18:30:50.6049 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-bundle.js - - - 
2026-04-28 18:30:50.6049 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9G" started. 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/swagger-ui-standalone-preset.js' 
2026-04-28 18:30:50.6505 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/_framework/aspnetcore-browser-refresh.js - - - 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/swagger-ui-bundle.js' 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/index.css' 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/swagger-ui.css' 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
2026-04-28 18:30:50.6505 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9H" accepted. 
2026-04-28 18:30:50.6517 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9H" started. 
2026-04-28 18:30:50.6517 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/swagger/index.js - - - 
2026-04-28 18:30:50.6517 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | No candidates found for the request path '/swagger/index.js' 
2026-04-28 18:30:50.6517 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request did not match any endpoints 
